[2025-05-06T09:54:10.614Z] 開始資料庫更新流程
[2025-05-06T09:54:10.629Z] 開始ATMovies 場次爬蟲...
[2025-05-06T09:59:38.827Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 17:54:53,771 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b16/a02/
2025-05-06 17:54:53,772 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02c01/a02/
2025-05-06 17:54:53,772 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d05/a02/
2025-05-06 17:54:53,773 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b07/a02/20250507/
2025-05-06 17:54:53,951 - INFO - 確認電影院名稱: 光點華山電影館
2025-05-06 17:54:53,952 - INFO - 在 光點華山電影館 - 今天 找到 0 個場次
2025-05-06 17:54:53,952 - INFO - 由於 光點華山電影館 在 今天 沒有場次資料，跳過 明天 的資料收集
2025-05-06 17:54:53,952 - INFO - 由於 光點華山電影館 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:54:53,952 - INFO - 完成電影院 光點華山電影館 的資料收集
2025-05-06 17:54:53,952 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d04/a02/
2025-05-06 17:54:53,970 - INFO - 確認電影院名稱: 百老匯影城公館店
2025-05-06 17:54:53,973 - INFO - 在 百老匯影城公館店 - 今天 找到 61 個場次
2025-05-06 17:54:53,973 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02c01/a02/20250507/
2025-05-06 17:54:54,020 - INFO - 確認電影院名稱: 台北天母新光影城
2025-05-06 17:54:54,022 - INFO - 在 台北天母新光影城 - 今天 找到 39 個場次
2025-05-06 17:54:54,022 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d04/a02/20250507/
2025-05-06 17:54:54,061 - INFO - 確認電影院名稱: 美麗華大直
2025-05-06 17:54:54,064 - INFO - 在 美麗華大直 - 今天 找到 62 個場次
2025-05-06 17:54:54,064 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d05/a02/20250507/
2025-05-06 17:54:57,767 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b06/a02/20250507/
2025-05-06 17:55:01,388 - INFO - 確認電影院名稱: 真善美戲院
2025-05-06 17:55:01,390 - INFO - 在 真善美戲院 - 明天 找到 14 個場次
2025-05-06 17:55:01,390 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b07/a02/20250508/
2025-05-06 17:55:02,816 - INFO - 確認電影院名稱: 台北天母新光影城
2025-05-06 17:55:02,818 - INFO - 在 台北天母新光影城 - 明天 找到 39 個場次
2025-05-06 17:55:02,818 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d04/a02/20250508/
2025-05-06 17:55:04,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02d05/a02/20250507/
2025-05-06 17:55:04,762 - INFO - 等待 3 秒後重試...
2025-05-06 17:55:04,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02c01/a02/20250507/
2025-05-06 17:55:04,762 - INFO - 等待 3 秒後重試...
2025-05-06 17:55:07,222 - INFO - 確認電影院名稱: 真善美戲院
2025-05-06 17:55:07,223 - INFO - 在 真善美戲院 - 後天 找到 13 個場次
2025-05-06 17:55:07,224 - INFO - 完成電影院 真善美戲院 的資料收集
2025-05-06 17:55:07,224 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e12/a02/
