[2025-05-06T06:50:22.776Z] 開始資料庫更新流程
[2025-05-06T06:50:22.782Z] 開始ATMovies 場次爬蟲...
[2025-05-06T07:05:10.686Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 14:52:34,492 - INFO - 確認電影院名稱: 哈拉影城
2025-05-06 14:52:34,494 - INFO - 在 哈拉影城 - 今天 找到 50 個場次
2025-05-06 14:52:35,500 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a06/a02/20250507/
2025-05-06 14:52:45,507 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02a06/a02/20250507/
2025-05-06 14:52:45,508 - INFO - 等待 3 秒後重試...
2025-05-06 14:52:48,513 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a06/a02/20250507/
2025-05-06 14:52:57,883 - INFO - 確認電影院名稱: 哈拉影城
2025-05-06 14:52:57,886 - INFO - 在 哈拉影城 - 明天 找到 51 個場次
2025-05-06 14:52:58,891 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a06/a02/20250508/
2025-05-06 14:53:06,771 - INFO - 確認電影院名稱: 哈拉影城
2025-05-06 14:53:06,774 - INFO - 在 哈拉影城 - 後天 找到 51 個場次
2025-05-06 14:53:07,779 - INFO - 完成電影院 哈拉影城 的資料收集
2025-05-06 14:53:07,779 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b05/a02/
2025-05-06 14:53:11,029 - INFO - 確認電影院名稱: 台北新光影城
2025-05-06 14:53:11,030 - INFO - 在 台北新光影城 - 今天 找到 9 個場次
2025-05-06 14:53:12,035 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b05/a02/20250507/
2025-05-06 14:53:16,089 - INFO - 確認電影院名稱: 台北新光影城
2025-05-06 14:53:16,090 - INFO - 在 台北新光影城 - 明天 找到 9 個場次
2025-05-06 14:53:17,096 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b05/a02/20250508/
2025-05-06 14:53:18,755 - INFO - 確認電影院名稱: 台北新光影城
2025-05-06 14:53:18,756 - INFO - 在 台北新光影城 - 後天 找到 9 個場次
2025-05-06 14:53:19,761 - INFO - 完成電影院 台北新光影城 的資料收集
2025-05-06 14:53:19,761 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b03/a02/
2025-05-06 14:53:19,848 - INFO - 確認電影院名稱: 樂聲影城
2025-05-06 14:53:19,850 - INFO - 在 樂聲影城 - 今天 找到 45 個場次
2025-05-06 14:53:20,855 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b03/a02/20250507/
2025-05-06 14:53:30,863 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02b03/a02/20250507/
2025-05-06 14:53:30,864 - INFO - 等待 3 秒後重試...
2025-05-06 14:53:33,867 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b03/a02/20250507/
2025-05-06 14:53:43,954 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02b03/a02/20250507/
2025-05-06 14:53:43,955 - INFO - 等待 6 秒後重試...
2025-05-06 14:53:49,960 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b03/a02/20250507/
2025-05-06 14:54:02,344 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02b03/a02/20250507/
2025-05-06 14:54:02,346 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02b03/a02/20250507/
2025-05-06 14:54:02,346 - ERROR - 無法獲取場次資訊: 樂聲影城 - 明天
2025-05-06 14:54:03,347 - INFO - 由於 樂聲影城 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 14:54:03,347 - INFO - 完成電影院 樂聲影城 的資料收集
2025-05-06 14:54:03,348 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b14/a02/
2025-05-06 14:54:03,525 - INFO - 確認電影院名稱: 台北京站威秀
2025-05-06 14:54:03,527 - INFO - 在 台北京站威秀 - 今天 找到 54 個場次
2025-05-06 14:54:04,532 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b14/a02/20250507/
2025-05-06 14:54:11,815 - INFO - 確認電影院名稱: 台北京站威秀
2025-05-06 14:54:11,817 - INFO - 在 台北京站威秀 - 明天 找到 54 個場次
2025-05-06 14:54:12,823 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b14/a02/20250508/
2025-05-06 14:54:20,093 - INFO - 確認電影院名稱: 台北京站威秀
2025-05-06 14:54:20,096 - INFO - 在 台北京站威秀 - 後天 找到 53 個場次
2025-05-06 14:54:21,101 - INFO - 完成電影院 台北京站威秀 的資料收集
