id,full_title,atmovies_id
1063,跳進部落的孩子 Dancing Home,dtw75654438
908,銀魂劇場版2D 金魂篇 Gintama On Theatre 2D Kintama-hen,fgjp36206675
1058,長安三萬里 Chang An,ccn27922374
890,長安三萬里 Chang An,fccn27922374
1036,雷霆特攻隊* Thunderbolts,ten20969586
868,雷霆特攻隊* Thunderbolts,ften20969586
936,青春來接招 Greatest Days,fgen12208980
1100,青春來接招 Greatest Days,gen12208980
901,青春末世物語 Happyend,fhjp29279903
1081,青春末世物語 Happyend,hjp29279903
906,鬼房客 The Tenant,ftth38873903
1073,鬼房客 The Tenant,tth38873903
924,黃金時代 The Golden Era,fkhk46708394
